LAMMPS data file via write_data, version 29 Oct 2020, timestep = 100187

17732 atoms
3 atom types

-0.32495350263428413 27.664953502633782 xlo xhi
-4.031242035346928 332.11124203535354 ylo yhi
-0.32617463221937076 27.666174632219153 zlo zhi

Masses

1 15.9994
2 232.0381
3 131.293

Atoms # full

1 0 2 2.2208 5.239684041060908 1.579596901773358 5.273021778995595 0 0 0
2 0 1 -1.1104 1.0469428160572518 -2.59450342068118 1.1230939266267537 0 0 0
3 0 1 -1.1104 1.0964315244523264 3.0031059053314193 1.0495301539741804 0 0 0
6 0 1 -1.1104 1.0253137260964118 -2.5679998166376725 3.982027117509763 0 0 0
7 0 1 -1.1104 1.1083635137305696 2.9964985307449568 3.985036534127313 0 0 0
10 0 1 -1.1104 1.023042190037455 0.142905661840711 1.201492232144568 0 0 0
12 0 2 2.2208 5.282965255298103 -1.230837437531355 2.542758225799141 0 0 0
13 0 2 2.2208 5.2983310129795855 4.410747225148799 2.4452770744131973 0 0 0
14 0 1 -1.1104 1.0723705458571933 0.24617918006962625 3.921791813210215 0 0 0
16 0 1 -1.1104 3.8942054295907718 -2.5343305553752304 1.137810813857774 0 0 0
17 0 1 -1.1104 3.8964003185855773 3.0615197842452075 0.9466100497828132 0 0 0
18 0 2 2.2208 2.4026708248080317 1.5408732383735484 2.42083268226493 0 0 0
19 0 1 -1.1104 3.885369449787816 -2.7425353271763098 3.9264100884991984 0 0 0
20 0 1 -1.1104 3.857135891056196 2.9428784963025416 3.8339916145456843 0 0 0
21 0 2 2.2208 2.4979970815607815 -1.203293763764945 5.349495955299308 0 0 0
22 0 2 2.2208 2.5375517188530723 4.350179720575654 5.191818323850004 0 0 0
23 0 1 -1.1104 3.8360259587552292 0.17388183538696508 1.0576686541181337 0 0 0
24 0 1 -1.1104 3.850018922372511 0.17775295125287607 3.8995775322698236 0 0 0
5 0 1 -1.1104 6.694892322704513 2.883817414604249 0.9741314270208993 0 0 0
9 0 1 -1.1104 6.714341243898517 3.025048806150028 3.764613160998734 0 0 0
15 0 1 -1.1104 6.636618580778253 0.30861381252381026 3.9664163499757823 0 0 0
11 0 1 -1.1104 6.676655514436354 0.12863788943662263 1.14663586333448 0 0 0
8 0 1 -1.1104 6.695078981109929 -2.511818105278638 4.031406832578018 0 0 0
4 0 1 -1.1104 6.678886211363142 -2.6820277161176604 1.1365094681098284 0 0 0
167 0 1 -1.1104 1.0107366898542351 2.8962508571752847 6.7300451576505695 0 0 0
382 0 2 2.2208 2.4302052904271756 -1.3070051498180844 -0.29124304435325554 0 0 0
169 0 1 -1.1104 6.525317504452654 3.0445522340780182 6.641335394151185 0 0 0
29 0 2 2.2208 5.259905487963344 -3.870424920266828 5.371250580616216 0 0 0
203 0 2 2.2208 5.339409156998244 -4.021497687318659 10.927867432581985 0 0 0
25 0 2 2.2208 -0.2553595720408417 -1.1666082800434026 2.5197173316033683 0 0 0
229 0 2 2.2208 13.647050428018323 1.6421805716055433 8.132231716313692 0 0 0
31 0 2 2.2208 10.772655510392806 1.6243885262375042 5.3210707422091 0 0 0
32 0 1 -1.1104 12.16748791429273 -2.707340497366802 1.1800919840483826 0 0 0
33 0 1 -1.1104 12.29310442975069 2.9827608199432065 1.0827244491895491 0 0 0
34 0 1 -1.1104 12.204721280835559 -2.701600403480153 4.064407902150203 0 0 0
35 0 1 -1.1104 12.236858219448994 3.024234058497617 3.9274030995044273 0 0 0
36 0 1 -1.1104 12.3101108018036 0.028752807993233126 1.1144342796124642 0 0 0
37 0 2 2.2208 10.90492983782235 -1.2973561406417058 2.543748711020838 0 0 0
38 0 2 2.2208 10.86023926717211 4.344649582615282 2.3932289890761047 0 0 0
39 0 1 -1.1104 12.296817287778754 0.14822189244526784 3.902309220019868 0 0 0
40 0 1 -1.1104 9.467739029583631 -2.6446318258401673 1.1805609082368715 0 0 0
41 0 1 -1.1104 9.43681108715611 2.9112454517229804 1.0781258281932142 0 0 0
42 0 2 2.2208 8.093746426567778 1.5909354038327028 2.495573721275876 0 0 0
43 0 1 -1.1104 9.491041976889038 -2.749812402729579 4.046085653714843 0 0 0
44 0 1 -1.1104 9.521961885109826 2.9689619358189767 3.8901153071180135 0 0 0
45 0 2 2.2208 8.135783952462656 -1.1405413830028452 5.385626709746666 0 0 0
46 0 2 2.2208 8.079133883236151 4.4446455729935455 5.323372523672113 0 0 0
47 0 1 -1.1104 9.484193029110276 0.10464548617278735 1.217802521959574 0 0 0
48 0 1 -1.1104 9.45986931760311 0.147435446861432 3.8579783855143943 0 0 0
388 0 2 2.2208 8.096640478898495 -1.297654178303335 -0.19092869318667974 0 0 0
341 0 2 2.2208 13.589925959792902 9.92700535812162 10.929196008549027 0 0 0
340 0 2 2.2208 13.645142558810521 12.738302717271319 8.032653653407985 0 0 0
206 0 1 -1.1104 12.240239256210304 2.9298541209719122 6.770197886724351 0 0 0
385 0 2 2.2208 5.195236515962376 -4.020675718400576 -0.26820439744053765 0 0 0
313 0 2 2.2208 -0.27627466646530885 15.571095561174234 8.143852215770819 0 0 0
28 0 2 2.2208 2.4873735637135677 -3.9934437208619746 2.545442396879778 0 0 0
54 0 2 2.2208 5.4409427378237725 7.194738748412355 5.273053916864174 0 0 0
55 0 2 2.2208 5.283972136263824 12.866502847519476 5.379207365830926 0 0 0
56 0 1 -1.1104 1.1196825504244385 8.540645833074795 1.1494273323696167 0 0 0
58 0 1 -1.1104 1.1627039737479354 8.46335210187013 3.969231920040609 0 0 0
60 0 1 -1.1104 1.0184021865183104 5.7042740189039245 1.0801444284589157 0 0 0
